Nombre ejercicio,Grupo muscular principal,Grupo muscular secundario,Lugar de entrenamiento: casa/gimnasio,Nivel de dificultad,Material necesario,Equipamiento opcional,Tags GPT,URL video\n\n,,
Flexión con agarre cerrado,Tríceps,Pectoral,Casa / Gimnasio,Principiante,Peso corporal,Esterilla,"empuje horizontal, aislado, principiante, peso corporal, hipertrofia, casa, tríceps, pectoral",https://drive.google.com/file/d/1d_66HUQxTAIs7WK09pamrQpymYYB2XfV/view?usp=drivesdk,,
Fondos de tríceps en banco con rodillas flexionadas,Tríceps,Pectoral,Casa / Gimnasio,Principiante,Banco,Ninguno,"empuje, aislado, principiante, banco, hipertrofia, casa, tríceps, pectoral",https://drive.google.com/file/d/1PoImUQAWwEKsJxKZG1p4-FFGpOsHYrbJ/view?usp=drivesdk,,
Pino estático con peso corporal,Hombros,Core,Casa / Gimnasio,Avanzado,Peso corporal,Pared,"aislado, multiarticular, avanzado, peso corporal, hipertrofia, casa, hombros, core",https://drive.google.com/file/d/1hUMhKGKz5_sscf6TIWvVTHIFkOoNonmN/view?usp=drivesdk,,
Fondos invertidos en suelo,Tríceps,Hombros,Casa / Gimnasio,Intermedio,Peso corporal,Banco bajo,"empuje, aislado, intermedio, peso corporal, hipertrofia, casa, tríceps, hombros",https://drive.google.com/file/d/19GlW85t7cjxIeY9EcdtGSZi2hrSca82x/view?usp=drivesdk,,
Flexión invertida con peso corporal,Tríceps,Core,Casa / Gimnasio,Intermedio,Peso corporal,Esterilla,"empuje horizontal, aislado, intermedio, peso corporal, hipertrofia, casa, tríceps, core",https://drive.google.com/file/d/1hIzhfm37sSTTjLu76GGMJ97qGzQdcUCW/view?usp=drivesdk,,
Fondos en anillas,Tríceps,Hombros,Gimnasio / Casa equipada,Avanzado,Anillas,Ninguno,"empuje, aislado, avanzado, anillas, hipertrofia, casa, tríceps, hombros",https://drive.google.com/file/d/1OSRuSXY5zklW92tWCuqtOYExQiMkv1oH/view?usp=drivesdk,,
Pushdown con cuerda en polea,Tríceps,Hombros,Gimnasio / Casa equipada,Intermedio,Polea alta + cuerda,Ninguno,"empuje, aislado, intermedio, polea alta + cuerda, hipertrofia, casa, tríceps, hombros",https://drive.google.com/file/d/1GHGjL3AcVMtfQn8ZzQy66GXWMe0aVVWR/view?usp=drivesdk,,
Curl predicador con barra EZ (agarre cerrado),Bíceps,Antebrazo,Gimnasio / Casa equipada,Intermedio,Barra EZ + banco predicador,Ninguno,"tracción, aislado, intermedio, barra ez + banco predicador, hipertrofia, casa, bíceps, antebrazo",https://drive.google.com/file/d/17gfvkXtravQOG3z29iVvGlg6YBcMNsHl/view?usp=drivesdk,,
Curl spider con barra EZ,Bíceps,Antebrazo,Casa / Gimnasio,Intermedio,Barra EZ,Banco,"tracción, aislado, intermedio, barra ez, hipertrofia, casa, bíceps, antebrazo",https://drive.google.com/file/d/1kmC69Y21F9pXi-ZLXX3gPA0e1OzF7EUd/view?usp=drivesdk,,
Curl predicador con polea,Bíceps,Antebrazo,Gimnasio / Casa equipada,Intermedio,Polea baja + banco Scott,Ninguno,"tracción, aislado, intermedio, polea baja + banco scott, hipertrofia, casa, bíceps, antebrazo",https://drive.google.com/file/d/1txsdXXwGKfyhoGQotPx5LS_iMi0SXtO7/view?usp=drivesdk,,
Press JM con barra,Tríceps,Hombros,Gimnasio,Avanzado,Barra larga + banco plano,Ninguno,"empuje, aislado, avanzado, barra larga + banco plano, hipertrofia, gimnasio, tríceps, hombros",https://drive.google.com/file/d/1gDJA43eSnZ4odZpJH7oEfN63Kex_oitC/view?usp=drivesdk,,
Press tumbado con barra (agarre cerrado),Tríceps,Pectoral,Gimnasio,Avanzado,Barra larga + banco plano,Ninguno,"empuje, aislado, avanzado, barra larga + banco plano, hipertrofia, gimnasio, tríceps, pectoral",https://drive.google.com/file/d/17E3iQ3qPMX09BqEux_-mGRnDomN_QjLy/view?usp=drivesdk,,
Peso muerto lateral a una mano con barra,Espalda baja,Glúteo,Gimnasio / Casa equipada,Intermedio,Barra larga,Discos,"bisagra de cadera, multiarticular, intermedio, barra larga, hipertrofia, casa, espalda baja, glúteo",https://drive.google.com/file/d/18d9HSaWXe7cHU4FjMIS5k7ON7-C4g-js/view?usp=drivesdk,,
Press banca inverso con agarre cerrado,Tríceps,Pectoral,Gimnasio,Avanzado,Barra larga + banco plano,Ninguno,"empuje, aislado, avanzado, barra larga + banco plano, hipertrofia, gimnasio, tríceps, pectoral",https://drive.google.com/file/d/1f0IyiISsWCQKMYSTn-f7ySSZPq4hvwht/view?usp=drivesdk,,
Press banca con barra (agarre cerrado),Tríceps,Pectoral,Gimnasio / Casa equipada,Intermedio,Barra larga + banco plano,Ninguno,"empuje, aislado, intermedio, barra larga + banco plano, hipertrofia, casa, tríceps, pectoral",https://drive.google.com/file/d/1X8CvyqHyhSFfdrVeYZUf83fmCSMb5NUT/view?usp=drivesdk,,
Curl de bíceps a una mano con polea,Bíceps,Antebrazo,Gimnasio / Casa equipada,Intermedio,Polea baja,Ninguno,"tracción, aislado, intermedio, polea baja, hipertrofia, casa, bíceps, antebrazo",https://drive.google.com/file/d/1sDHNdLo5rfH-I2gHMIxpJFd5WNGN3SJY/view?usp=drivesdk,,
Press banca con barra (agarre cerrado),Tríceps,Pectoral,Gimnasio / Casa equipada,Intermedio,Barra larga + banco plano,Ninguno,"empuje, aislado, intermedio, barra larga + banco plano, hipertrofia, casa, tríceps, pectoral",https://drive.google.com/file/d/1_6syB0J3AamgDzfg5U7NRLBPpyVO1kPe/view?usp=drivesdk,,
Press banca con barra EZ (agarre cerrado),Tríceps,Pectoral,Gimnasio / Casa equipada,Intermedio,Barra EZ + banco plano,Ninguno,"empuje, aislado, intermedio, barra ez + banco plano, hipertrofia, casa, tríceps, pectoral",https://drive.google.com/file/d/1rLWPfoasNurcUm4Lby7sFVDdreTfabSk/view?usp=drivesdk,,
Press banca con barra EZ (agarre cerrado),Tríceps,Pectoral,Gimnasio / Casa equipada,Intermedio,Barra EZ + banco plano,Ninguno,"empuje, aislado, intermedio, barra ez + banco plano, hipertrofia, casa, tríceps, pectoral",https://drive.google.com/file/d/1svlgXv_AC21Wt9t8RjVs1JR3IyRcbb_n/view?usp=drivesdk,,
Press vertical a una mano con kettlebell (posición invertida, de rodillas),Hombros,Core,Casa / Gimnasio,Avanzado,Kettlebell,Esterilla,"aislado, multiarticular, avanzado, kettlebell, hipertrofia, casa, hombros, core",https://drive.google.com/file/d/12AJ5i-4wpdQXVvsN0bUq1nqMUa3JdGg9/view?usp=drivesdk,
Press banca en máquina Smith (agarre cerrado),Tríceps,Pectoral,Gimnasio,Intermedio,Máquina Smith + banco plano,Ninguno,"empuje, aislado, intermedio, máquina smith + banco plano, hipertrofia, gimnasio, tríceps, pectoral",https://drive.google.com/file/d/1DJpGDOn_u4oi28QpCjWcxZwRtEEWi4gh/view?usp=drivesdk,,
Fondos entre tres bancos con peso,Tríceps,Hombros,Gimnasio / Casa equipada,Avanzado,3 bancos + disco,Ninguno,"empuje, aislado, avanzado, 3 bancos + disco, hipertrofia, casa, tríceps, hombros",https://drive.google.com/file/d/1AZQiLov4bwljbTEGE6mR73BxTv_rrDDI/view?usp=drivesdk,,
Fondos de tríceps con peso,Tríceps,Pectoral,Gimnasio / Casa equipada,Avanzado,Paralelas o banco + lastre,Cinturón de lastre,"empuje, aislado, avanzado, paralelas o banco + lastre, hipertrofia, casa, tríceps, pectoral",https://drive.google.com/file/d/15_Oq_w6RwWzmA8JS-UWj8bEP6S7JqsMe/view?usp=drivesdk,,
Pushdown unilateral con polea,Tríceps,Hombros,Gimnasio / Casa equipada,Intermedio,Polea baja + cuerda,Ninguno,"empuje, aislado, intermedio, polea baja + cuerda, hipertrofia, casa, tríceps, hombros",https://drive.google.com/file/d/1DYDVol3eYEkDwFUaOiLSGKRPZLrymzhj/view?usp=drivesdk,,
Pushdown unilateral con polea,Tríceps,Hombros,Gimnasio / Casa equipada,Intermedio,Polea baja + cuerda,Ninguno,"empuje, aislado, intermedio, polea baja + cuerda, hipertrofia, casa, tríceps, hombros",https://drive.google.com/file/d/13DAppwdpt033jCeXRDonj6u3ZHFYC79c/view?usp=drivesdk,,
Dominadas neutras con lastre en jaula de fondos,Espalda,Bíceps,Gimnasio,Avanzado,Jaula + barra + lastre,Cinturón de lastre,"tracción horizontal, multiarticular, avanzado, jaula + barra + lastre, hipertrofia, gimnasio, espalda, bíceps",https://drive.google.com/file/d/1Yxc7SZ2fFCdkHnd_rzUPSkosvMg-A_LQ/view?usp=drivesdk,,
Jalón unilateral con banda desde rodillas,Espalda,Hombros,Casa / Gimnasio,Intermedio,Banda elástica,Esterilla,"tracción horizontal, multiarticular, intermedio, banda elástica, hipertrofia, casa, espalda, hombros",https://drive.google.com/file/d/1T88scb5DSAk20OmVYaoQu36g1HloIgMX/view?usp=drivesdk,,
Encogimiento de hombros con banda elástica,Trapecio,Hombros,Casa / Gimnasio,Principiante,Banda elástica,Ninguno,"aislado, multiarticular, principiante, banda elástica, hipertrofia, casa, trapecio, hombros",https://drive.google.com/file/d/1aFI3jM6Ddz1Ma70h7Q4cSazWHvuUyfoP/view?usp=drivesdk,,
Encogimiento por encima de la cabeza con barra,Trapecio,Hombros,Gimnasio / Casa equipada,Intermedio,Barra larga,Ninguno,"aislado, multiarticular, intermedio, barra larga, hipertrofia, casa, trapecio, hombros",https://drive.google.com/file/d/1OpPWpVSsKkOdUR4JHniZh7UNSas5SMqX/view?usp=drivesdk,,
Encogimiento de hombros con barra,Trapecio,Hombros,Gimnasio / Casa equipada,Intermedio,Barra larga,Ninguno,"aislado, multiarticular, intermedio, barra larga, hipertrofia, casa, trapecio, hombros",https://drive.google.com/file/d/1EFxyHZmZ0JRh8X5ZGkoXZAWegGt38zJO/view?usp=drivesdk,,
Remo inclinado con mancuernas y barra de soporte,Espalda,Bíceps,Gimnasio / Casa equipada,Intermedio,Mancuernas + soporte,Banco inclinado,"tracción horizontal, multiarticular, intermedio, mancuernas + soporte, hipertrofia, casa, espalda, bíceps",https://drive.google.com/file/d/1F8QnIvz0BKRz0akLoWZN45KTXNetHfWy/view?usp=drivesdk,,
Dominadas con rodillas flexionadas entre sillas,Espalda,Bíceps,casa/gimnasio,Intermedio,Sillas,Ninguno,"tracción horizontal, multiarticular, intermedio, sillas, hipertrofia, casa, espalda, bíceps",https://drive.google.com/file/d/1hUHTseukWnlxVpZBynvORbpLXCETYa7j/view?usp=drivesdk,,
Remo invertido con rodillas flexionadas entre sillas,Espalda,Bíceps,casa/gimnasio,Intermedio,Sillas,Barra o palo,"tracción horizontal, multiarticular, intermedio, sillas, hipertrofia, casa, espalda, bíceps",https://drive.google.com/file/d/1W1SBDjxGoXJ0PtXgy-utB1RCLi_Ty57C/view?usp=drivesdk,,
Remo invertido con rodillas flexionadas,Espalda,Bíceps,casa/gimnasio,Intermedio,Ninguno,Barra baja o soporte,"tracción horizontal, multiarticular, intermedio, ninguno, hipertrofia, casa, espalda, bíceps",https://drive.google.com/file/d/1bOih9QHqzNvCUMIhENUpkzqIS7MLM2ws/view?usp=drivesdk,,
Elevación posterior con palma hacia abajo (peso corporal),Hombros posteriores,Espalda alta,casa/gimnasio,Principiante,Ninguno,Ninguno,"aislado, multiarticular, principiante, ninguno, hipertrofia, casa, hombros posteriores, espalda alta",https://drive.google.com/file/d/14Nxlw8AvU9yfRP1jMaIN7zRVgwtH-5Qh/view?usp=drivesdk,,
Estiramiento de gato (movilidad dorsal),Espalda,Dorsales,Casa / Gimnasio,Principiante,Esterilla,Ninguno,"tracción horizontal, multiarticular, principiante, esterilla, hipertrofia, casa, espalda, dorsales",https://drive.google.com/file/d/1Nqh3Y3R8JWQNVy9TA4GEWvWDPCuv7fgL/view?usp=drivesdk,,
Estiramiento dinámico de espalda,Espalda,Dorsales,Casa / Gimnasio,Principiante,Ninguno,Esterilla,"tracción horizontal, multiarticular, principiante, ninguno, hipertrofia, casa, espalda, dorsales",https://drive.google.com/file/d/1XIs25GiPPndFQZMJjpOUMD2Eva6SACZx/view?usp=drivesdk,,
Estiramiento de espalda con rotación de pie,Espalda,Dorsales,Casa / Gimnasio,Principiante,Ninguno,Ninguno,"tracción horizontal, multiarticular, principiante, ninguno, hipertrofia, casa, espalda, dorsales",https://drive.google.com/file/d/1Qd-mWoL0JcpeYA65nKQGtC1UlYuoryMB/view?usp=drivesdk,,
Estiramiento rotacional de espalda desde rodillas,Espalda,Dorsales,Casa / Gimnasio,Principiante,Esterilla,Ninguno,"tracción horizontal, multiarticular, principiante, esterilla, hipertrofia, casa, espalda, dorsales",https://drive.google.com/file/d/1p6EvONRYiHFQMr8gSRj7PnHPzZvphAGl/view?usp=drivesdk,,
Estiramiento de dorsales en posición de rodillas,Dorsales,Espalda alta,Casa / Gimnasio,Principiante,Esterilla,Ninguno,"aislado, multiarticular, principiante, esterilla, hipertrofia, casa, dorsales, espalda alta",https://drive.google.com/file/d/15a0iTctkcz2sua3OKYUu754ntsTSvUAp/view?usp=drivesdk,,
Hiperextensión 45° con brazos cruzados (peso corporal),Espalda baja,Glúteos,Gimnasio / Casa equipada,Intermedio,Banco de hiperextensiones,Ninguno,"tracción horizontal, multiarticular, intermedio, banco de hiperextensiones, hipertrofia, casa, espalda baja, glúteos",https://drive.google.com/file/d/1uGLZ8qqJQtZ0JOvFNmh5qHXx3-KefTKG/view?usp=drivesdk,,
Hiperextensión 45° con brazos cruzados (peso corporal),Espalda baja,Glúteos,Gimnasio / Casa equipada,Intermedio,Banco de hiperextensiones,Ninguno,"tracción horizontal, multiarticular, intermedio, banco de hiperextensiones, hipertrofia, casa, espalda baja, glúteos",https://drive.google.com/file/d/1BvHj0GQnVrU-oX2rnh37mluXgkqU_Y1g/view?usp=drivesdk,,
Estiramiento lateral de pie,Espalda,Oblicuos,Casa / Gimnasio,Principiante,Ninguno,Ninguno,"tracción horizontal, multiarticular, principiante, ninguno, hipertrofia, casa, espalda, oblicuos",https://drive.google.com/file/d/17sh-65AhGU31ZORcSUwJXHr4kayP8SoD/view?usp=drivesdk,,
Remo invertido con TRX (o straps),Espalda alta,Bíceps,Casa / Gimnasio,Intermedio,TRX o straps,Barra de soporte,"tracción horizontal, multiarticular, intermedio, trx o straps, hipertrofia, casa, espalda alta, bíceps",https://drive.google.com/file/d/1hhrLHJAp9qx8OKjpfVASs3lsSa2NqIFw/view?usp=drivesdk,,
Dominadas en barra fija,Espalda,Bíceps,Casa / Gimnasio,Avanzado,Barra fija,Ninguno,"tracción horizontal, multiarticular, avanzado, barra fija, hipertrofia, casa, espalda, bíceps",https://drive.google.com/file/d/125GjHi5TuBXz10RrLHS0x-9mqc9IS-Ig/view?usp=drivesdk,,
Plancha inversa,Espalda,Glúteos,Casa / Gimnasio,Intermedio,Esterilla,Ninguno,"tracción horizontal, multiarticular, intermedio, esterilla, hipertrofia, casa, espalda, glúteos",https://drive.google.com/file/d/1GZmAAYPhjzo5lnApd3cLAtIYLPACdtP3/view?usp=drivesdk,,
Remo suspendido (TRX o anillas),Espalda alta,Bíceps,Casa / Gimnasio,Intermedio,TRX o anillas,Soporte resistente,"tracción horizontal, multiarticular, intermedio, trx o anillas, hipertrofia, casa, espalda alta, bíceps",https://drive.google.com/file/d/1St-9J7jaWc38IpAV0NClljv81umVm-pe/view?usp=drivesdk,,
Estiramiento lumbar sentado,Espalda baja,Ninguno,Casa / Gimnasio,Principiante,Silla o esterilla,Ninguno,"tracción horizontal, multiarticular, principiante, silla o esterilla, hipertrofia, casa, espalda baja, ninguno",https://drive.google.com/file/d/1dsR_jC0oV1onLTN1WvfnpfDzecaeszz_/view?usp=drivesdk,,
Estiramiento de columna (sentado o de pie),Espalda,Dorsales,Casa / Gimnasio,Principiante,Ninguno,Silla o esterilla,"tracción horizontal, multiarticular, principiante, ninguno, hipertrofia, casa, espalda, dorsales",https://drive.google.com/file/d/1jz5rKOWu-9uMyO-MLk38HnSAp0byWB6Z/view?usp=drivesdk,,
Estiramiento dinámico de espalda,Espalda,Dorsales,Casa / Gimnasio,Principiante,Ninguno,Ninguno,"tracción horizontal, multiarticular, principiante, ninguno, hipertrofia, casa, espalda, dorsales",https://drive.google.com/file/d/1jnVsrMXuaFnqaMCe2CVm9ASp-gzgg3JK/view?usp=drivesdk,,
Estiramiento de espalda con brazos atrás,Espalda,Hombros,Casa / Gimnasio,Principiante,Ninguno,Ninguno,"tracción horizontal, multiarticular, principiante, ninguno, hipertrofia, casa, espalda, hombros",https://drive.google.com/file/d/1u0ThNjyatlDKrHFKPrZsKsc7vUal1Fu_/view?usp=drivesdk,,
Estiramiento de espalda en barra fija,Espalda,Dorsales,Casa / Gimnasio,Principiante,Barra fija,Ninguno,"tracción horizontal, multiarticular, principiante, barra fija, hipertrofia, casa, espalda, dorsales",https://drive.google.com/file/d/1mlv4EtXUGL7QBNLQjnWNSe7ra8Vvkam9/view?usp=drivesdk,,
Estiramiento rotacional de espalda desde rodillas,Espalda,Dorsales,Casa / Gimnasio,Principiante,Esterilla,Ninguno,"tracción horizontal, multiarticular, principiante, esterilla, hipertrofia, casa, espalda, dorsales",https://drive.google.com/file/d/1qYbOUEJgVViCtLqHYHmqjgd8VbWjrEzo/view?usp=drivesdk,,
Estiramiento de dorsales desde rodillas,Dorsales,Espalda alta,Casa / Gimnasio,Principiante,Esterilla,Ninguno,"aislado, multiarticular, principiante, esterilla, hipertrofia, casa, dorsales, espalda alta",https://drive.google.com/file/d/1p9me1lkQWPRbFFSY8GW-tIvmdq-91ykv/view?usp=drivesdk,,
Estiramiento lumbar sentado,Espalda baja,Ninguno,Casa / Gimnasio,Principiante,Silla o esterilla,Ninguno,"tracción horizontal, multiarticular, principiante, silla o esterilla, hipertrofia, casa, espalda baja, ninguno",https://drive.google.com/file/d/1LeqXQAk0UDiWsXRZ--bB48CkzXY4ae49/view?usp=drivesdk,,
Estiramiento de columna (sentado o de pie),Espalda,Dorsales,Casa / Gimnasio,Principiante,Ninguno,Silla o esterilla,"tracción horizontal, multiarticular, principiante, ninguno, hipertrofia, casa, espalda, dorsales",https://drive.google.com/file/d/1sgz23fl5A1WvkE5FPJAjCdW0b02E98Ql/view?usp=drivesdk,,
Estiramiento de espalda con rotación de pie,Espalda,Dorsales / Oblicuos,Casa / Gimnasio,Principiante,Ninguno,Ninguno,"tracción horizontal, multiarticular, principiante, ninguno, hipertrofia, casa, espalda, dorsales / oblicuos",https://drive.google.com/file/d/17t6kMPGIykY9ez0WOt-lkCIcfE9BpsNz/view?usp=drivesdk,,
Estiramiento de espalda con rotación de pie,Espalda,Dorsales / Oblicuos,Casa / Gimnasio,Principiante,Ninguno,Ninguno,"tracción horizontal, multiarticular, principiante, ninguno, hipertrofia, casa, espalda, dorsales / oblicuos",https://drive.google.com/file/d/1aZazlfoaw8u0PFD6puLJbcwlhf9OeAvr/view?usp=drivesdk,,
Estiramiento lateral de pie,Espalda,Oblicuos,Casa / Gimnasio,Principiante,Ninguno,Ninguno,"tracción horizontal, multiarticular, principiante, ninguno, hipertrofia, casa, espalda, oblicuos",https://drive.google.com/file/d/1mHlNHeaCZrS1BlPMiBSEpeckglTmgi16/view?usp=drivesdk,,
